school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
X080,0.3155,0.6601,0.0091,0.811,0.2515,0.064,0.1189,0.1479,All Grades,277,No,0.029411764705882353,Minority,Hispanic
X081,0.0767,0.4853,0.0383,0.4808,0.1711,0.3024,0.0811,0.0929,All Grades,326,No,0.013157894736842105,Minority,Hispanic
X085,0.2625,0.7121,0.0081,0.9756,0.2625,0.002,0.0112,0.2665,All Grades,277,No,0.05333333333333334,Minority,Hispanic
X086,0.3106,0.8535,0.0047,1,0.1606,0.0124,0.0512,0.0782,All Grades,307,No,0.08641975308641975,Minority,Hispanic
X091,0.345,0.7332,0.0162,0.9757,0.2412,0.0202,0.035,0.1954,All Grades,292,No,0.02127659574468085,Minority,Hispanic
X094,0.2776,0.6844,0.0145,0.9443,0.2123,0.0218,0.1098,0.1695,All Grades,275,No,0.1388888888888889,Minority,Hispanic
X095,0.1806,0.691,0.0177,1,0.1768,0.0354,0.0669,0.1891,All Grades,289,No,0,Minority,Hispanic
X118,0.124,0.6206,0.0059,0.9112,0.1817,0.0377,0.1298,0.206,All Grades,298,No,0.07017543859649122,Minority,Hispanic
X141,0.0594,0.546,0.0036,0.5344,0.1962,0.26,0.0797,0.1108,All Grades,306,No,0.1342281879194631,Minority,Hispanic
X159,0.2821,0.9077,0.0051,1,0.2103,0.0103,0,0.0769,All Grades,295,No,0,Minority,Hispanic
X205,0.2219,0.7965,0,1,0.1909,0.0514,0.0048,0.1473,All Grades,291,No,0.037037037037037035,Minority,Hispanic
X206,0.2772,0.809,0,1,0.2734,0.0112,0.0075,0.1723,All Grades,280,No,0.06666666666666667,Minority,Hispanic
X225,0.0506,0.663,0.0142,1,0.2041,0.0142,0.0142,0.2943,All Grades,294,NA,NA,Minority,Hispanic
X226,0.2381,0.756,0.006,0.9623,0.1627,0.002,0.004,0.2321,All Grades,286,NA,NA,Minority,Hispanic
X228,0.0575,0.7356,0.0115,0.8736,0.1954,0.0268,0.046,0.1801,All Grades,310,NA,NA,Minority,Hispanic
X243,0.1169,0.7446,0.0067,0.9616,0.2404,0.0234,0.025,0.2003,All Grades,285,NA,NA,Minority,Hispanic
X244,0.2173,0.837,0.0065,0.9288,0.2652,0.0259,0.0181,0.1125,All Grades,295,NA,NA,Minority,Hispanic
X246,0.2659,0.8479,0.0119,0.9193,0.1905,0.0146,0.0225,0.1032,All Grades,280,NA,NA,Minority,Hispanic
X254,0.3205,0.7789,0.002,1,0.2799,0.0122,0.0284,0.1785,All Grades,280,No,0.014492753623188406,Minority,Hispanic
X279,0.2865,0.8031,0.0055,0.9575,0.2006,0.0028,0.0323,0.1562,All Grades,287,No,0.03508771929824561,Minority,Hispanic
X280,0.1572,0.7483,0.0034,0.9453,0.2483,0.0467,0.1139,0.0877,All Grades,302,NA,NA,Minority,Hispanic
X291,0.2187,0.8835,0.0043,0.977,0.1511,0.0029,0.0043,0.105,All Grades,299,NA,NA,Minority,Hispanic
X306,0.1746,0.7143,0,1,0.2143,0.0066,0.0119,0.2672,All Grades,285,No,0.13043478260869565,Minority,Hispanic
X307,0.2249,0.8142,0.0024,1,0.2054,0.0122,0.0758,0.0954,All Grades,287,NA,NA,Minority,Hispanic
X308,0.1119,0.7052,0,0.8097,0.1903,0.0075,0.0336,0.2537,All Grades,298,NA,NA,Minority,Hispanic
X310,0.168,0.8594,0.0026,0.9818,0.1849,0.0312,0.0169,0.0898,All Grades,293,NA,NA,Minority,Hispanic
X315,0.1979,0.8198,0.0212,0.9435,0.2191,0.0106,0.0071,0.1413,All Grades,294,NA,NA,Minority,Hispanic
X331,0.2056,0.7411,0.0025,1,0.2386,0.0051,0.0127,0.2386,All Grades,282,NA,NA,Minority,Hispanic
X340,0.2512,0.8326,0.0124,1,0.2295,0.0186,0.0403,0.0961,All Grades,289,No,0.054945054945054944,Minority,Hispanic
X342,0.6774,0.9947,0,0.9697,0.0891,0.0036,0,0.0018,All Grades,286,NA,NA,Minority,Hispanic
X344,0.0529,0.6111,0.0212,0.4815,0.1455,0.2011,0.0582,0.1085,All Grades,307,NA,NA,Minority,Hispanic
X360,0.1258,0.8309,0.0041,0.9072,0.1876,0.0268,0.0165,0.1216,All Grades,280,No,0.09,Minority,Hispanic
X363,0.335,0.8337,0.0024,0.9658,0.2469,0.0098,0.022,0.132,All Grades,276,NA,NA,Minority,Hispanic
X368,0.1448,0.817,0.0098,0.9051,0.1791,0.0362,0.0352,0.1018,All Grades,283,No,0.08620689655172414,Minority,Hispanic
X382,0.2686,0.742,0.0035,0.9505,0.1131,0,0,0.2544,All Grades,286,NA,NA,Minority,Hispanic
X386,0.2803,0.8192,0.0018,0.991,0.1664,0.009,0.0036,0.1664,All Grades,275,NA,NA,Minority,Hispanic
X390,0.2846,0.8186,0.0025,0.8841,0.2393,0.005,0.0076,0.1662,All Grades,284,NA,NA,Minority,Hispanic
X391,0.3677,0.7315,0.0019,1,0.2626,0.0058,0.0117,0.249,All Grades,268,NA,NA,Minority,Hispanic
X396,0.2038,0.748,0,0.8847,0.2493,0.0214,0,0.2306,All Grades,275,NA,NA,Minority,Hispanic
X447,0.3173,0.8351,0,0.977,0.2109,0.0063,0.0188,0.1399,All Grades,293,NA,NA,Minority,Hispanic
X459,0.261,0.8242,0,0.8516,0.2253,0.0055,0.0137,0.1566,All Grades,260,NA,NA,Minority,Hispanic
X016,0.0526,0.314,0.0842,0.9491,0.1614,0.0263,0.0316,0.5439,All Grades,289,No,0.25,Minority,Black
X019,0.0774,0.2798,0.006,0.5675,0.1528,0.5972,0.0437,0.0734,All Grades,317,No,0.12280701754385964,White,White
X021,0.0622,0.2376,0.0226,0.8515,0.1726,0.0057,0.0212,0.7129,All Grades,279,No,0.12162162162162163,Minority,Black
X041,0.0911,0.3976,0.0107,0.9636,0.1726,0.0139,0.0118,0.5659,All Grades,297,No,0.171875,Minority,Black
X068,0.0107,0.1562,0.02,1,0.1736,0.0134,0.012,0.7984,All Grades,294,No,0.1206896551724138,Minority,Black
X076,0.1115,0.4252,0.0133,1,0.1592,0.0734,0.0296,0.4585,All Grades,280,No,0.1111111111111111,Minority,Black
X078,0.0413,0.2075,0.0075,0.8537,0.155,0.0587,0.01,0.7163,All Grades,287,No,0.09615384615384616,Minority,Black
X083,0.1125,0.4952,0.0065,1,0.1798,0.3119,0.0887,0.0976,All Grades,303,No,0.053763440860215055,Minority,Hispanic
X087,0.0159,0.1508,0.0571,0.8429,0.1603,0.0048,0.054,0.7333,All Grades,289,No,0.06666666666666667,Minority,Black
X089,0.197,0.534,0.0082,1,0.2004,0.1685,0.0598,0.2296,All Grades,297,No,0.031746031746031744,Minority,Hispanic
X096,0.0863,0.6081,0.0122,1,0.1756,0.0995,0.0497,0.2305,All Grades,293,No,0.011235955056179775,Minority,Hispanic
X097,0.0447,0.3753,0.0271,0.7656,0.1585,0.1477,0.1599,0.29,All Grades,300,No,0.02702702702702703,Minority,Hispanic
X103,0.1768,0.3821,0.0364,0.8579,0.1785,0.0234,0.0251,0.5329,All Grades,282,No,0.12658227848101267,Minority,Black
X105,0.2039,0.6389,0.0234,0.9174,0.1791,0.1235,0.0892,0.125,All Grades,304,No,0.16455696202531644,Minority,Hispanic
X106,0.138,0.3541,0.0115,1,0.1323,0.0279,0.3492,0.2572,All Grades,305,No,0.021621621621621623,Minority,Hispanic
X108,0.1105,0.4594,0.0138,0.8066,0.1382,0.3402,0.1157,0.0708,All Grades,316,No,0,Minority,Hispanic
X111,0.0798,0.3411,0.0174,0.8853,0.2554,0.0073,0.0029,0.6313,All Grades,277,No,0.00819672131147541,Minority,Black
X112,0.0271,0.5,0,0.9778,0.1921,0.0074,0,0.4926,All Grades,279,No,0.008547008547008548,Minority,Hispanic
X121,0.0449,0.2653,0.0082,1,0.1296,0.0276,0.0643,0.6347,All Grades,292,No,0.0625,Minority,Black
X127,0.176,0.4011,0.0123,1,0.1146,0.0273,0.3192,0.2401,All Grades,292,No,0.031746031746031744,Minority,Hispanic
X144,0.0806,0.2921,0.0036,1,0.2366,0.0269,0.0233,0.6541,All Grades,275,No,0.008771929824561403,Minority,Black
X153,0.0229,0.2471,0.0143,0.6429,0.1214,0.0529,0.0943,0.5914,All Grades,312,No,0.03389830508474576,Minority,Black
X160,0.0653,0.3417,0.0302,0.7412,0.2764,0.0151,0.0251,0.5879,All Grades,291,No,0.11320754716981132,Minority,Black
X169,0.0315,0.2027,0.0293,0.8288,0.2027,0.0158,0.0158,0.7365,All Grades,317,No,0.07777777777777778,Minority,Black
X175,0.0216,0.284,0.0123,0.392,0.1543,0.5833,0.0525,0.0679,All Grades,309,No,0.06557377049180328,White,White
X178,0.0428,0.2729,0.0224,0.7882,0.2464,0.0591,0.0204,0.6253,All Grades,296,No,0.11538461538461539,Minority,Black
X180,0.0137,0.2489,0.0114,0.6804,0.1792,0.024,0.0377,0.6781,All Grades,300,No,0.13333333333333333,Minority,Black
X181,0.0183,0.2474,0.0092,0.764,0.2291,0.0332,0.0515,0.6586,All Grades,297,No,0.046875,Minority,Black
X189,0.0468,0.3941,0.0197,0.8744,0.1749,0.0246,0.0074,0.5542,All Grades,296,No,0.012658227848101266,Minority,Black
X194,0.1633,0.5484,0.0159,1,0.1474,0.0484,0.3121,0.0751,All Grades,302,No,0.020618556701030927,Minority,Hispanic
X287,0.0565,0.2903,0.0524,0.8952,0.2702,0.0121,0.0161,0.629,All Grades,266,NA,NA,Minority,Black
X289,0.0755,0.2421,0.0157,0.7516,0.2484,0.0063,0.0283,0.7075,All Grades,266,NA,NA,Minority,Black
