school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
K084,0.1781,0.6292,0.0365,1,0.1547,0.2774,0.0277,0.0292,All Grades,295,No,0.0915032679738562,Minority,Hispanic
K110,0.1203,0.2682,0.0326,0.406,0.1203,0.6015,0.0426,0.0551,All Grades,312,No,0,White,White
K120,0.166,0.8362,0.0085,1,0.1872,0.0085,0.0277,0.1191,All Grades,298,No,0.07563025210084033,Minority,Hispanic
K126,0.1132,0.6384,0.0094,0.7579,0.2767,0.1195,0.0189,0.2138,All Grades,282,No,0.1,Minority,Hispanic
K132,0.0706,0.411,0.0085,1,0.0876,0.3545,0.0678,0.1582,All Grades,314,No,0.022222222222222223,Minority,Hispanic
K147,0.0906,0.6585,0.007,0.8955,0.1777,0.0523,0.0209,0.2613,All Grades,295,No,0.09734513274336283,Minority,Hispanic
K157,0.19,0.81,0.0018,1,0.262,0.0148,0.0055,0.1679,All Grades,277,No,0.07954545454545454,Minority,Hispanic
K196,0.1021,0.7748,0.015,0.8649,0.2703,0.009,0.003,0.1982,All Grades,294,No,0.0684931506849315,Minority,Hispanic
K250,0.1457,0.7437,0.0028,1,0.1289,0.0224,0.1218,0.1092,All Grades,292,No,0.06201550387596899,Minority,Hispanic
K257,0.1605,0.7526,0.0015,1,0.2798,0.0177,0.0162,0.2121,All Grades,296,No,0.037037037037037035,Minority,Hispanic
K297,0.1013,0.4979,0.0253,1,0.2068,0.0253,0.0127,0.4388,All Grades,281,No,0.1826086956521739,Minority,Hispanic
K318,0.0523,0.6067,0.0037,1,0.1618,0.1388,0.0685,0.1823,All Grades,297,No,0.12149532710280374,Minority,Hispanic
K380,0.231,0.769,0.003,1,0.2295,0.0653,0.0106,0.152,All Grades,312,No,0.05405405405405406,Minority,Hispanic
K414,0.0849,0.6674,0.0161,0.695,0.195,0.2592,0.0229,0.0344,All Grades,305,NA,NA,Minority,Hispanic
K577,0.0301,0.6044,0.004,1,0.1667,0.3273,0.0241,0.0402,All Grades,307,NA,NA,Minority,Hispanic
K582,0.0782,0.7243,0.0206,1,0.3539,0.0165,0,0.2387,All Grades,278,NA,NA,Minority,Hispanic
K586,0.1269,0.5788,0.0038,0.8654,0.2365,0.0192,0.0115,0.3865,All Grades,259,NA,NA,Minority,Hispanic
K614,0.0263,0.3237,0.0237,0.7763,0.1711,0.0053,0.0289,0.6184,All Grades,290,NA,NA,Minority,Black
K001,0.4166,0.8818,0.0031,1,0.177,0.029,0.0767,0.0094,All Grades,297,No,0.008264462809917356,Minority,Hispanic
K010,0.0328,0.3209,0.0456,1,0.1887,0.4831,0.0629,0.0875,All Grades,322,No,0.1875,Minority,White
K015,0.0551,0.5176,0.0286,1,0.315,0.1344,0.0154,0.304,All Grades,301,No,0.064,Minority,Hispanic
K024,0.4621,0.9073,0.0028,0.9326,0.1545,0.0407,0.0435,0.0056,All Grades,289,No,0.08917197452229299,Minority,Hispanic
K029,0.0331,0.117,0.0556,0.1028,0.1017,0.7281,0.0626,0.0366,All Grades,333,No,0.0136986301369863,White,White
K032,0.0518,0.2692,0.0166,0.4803,0.2588,0.3892,0.0849,0.2402,All Grades,324,No,0.041666666666666664,Minority,White
K038,0.0667,0.3093,0.0167,0.5963,0.1741,0.1907,0.1148,0.3685,All Grades,323,No,0.05357142857142857,Minority,Black
K039,0.0294,0.1103,0.0196,0.1446,0.1397,0.7206,0.0784,0.0711,All Grades,339,No,0,White,White
K051,0.0232,0.1772,0.0134,0.2102,0.1612,0.5868,0.1202,0.1024,All Grades,340,No,0.13414634146341464,White,White
K058,0.0524,0.1181,0.0873,0.115,0.1294,0.7043,0.0554,0.0349,All Grades,334,No,0.05384615384615385,White,White
K088,0.1398,0.5935,0.0064,0.8011,0.2524,0.0982,0.1853,0.1166,All Grades,305,No,0.21323529411764705,Minority,Hispanic
K094,0.6194,0.3932,0.0013,0.9668,0.0796,0.0159,0.5842,0.0053,All Grades,315,No,0.04,Minority,Asian
K107,0.0088,0.1103,0.0228,0.0736,0.1086,0.7531,0.056,0.0578,All Grades,339,No,0,White,White
K118,0,0.1183,0.1302,0.0888,0.1006,0.5917,0.0888,0.071,All Grades,349,NA,NA,White,White
K124,0.2052,0.5347,0.0173,1,0.1387,0.1445,0.2283,0.0751,All Grades,308,No,0.21052631578947367,Minority,Hispanic
K130,0.1825,0.3066,0.0511,1,0.1547,0.346,0.2131,0.0832,All Grades,313,No,0.2,Minority,White
K131,0.4411,0.565,0.0026,1,0.1412,0.0884,0.3328,0.0113,All Grades,316,No,0.09259259259259259,Minority,Hispanic
K136,0.405,0.8512,0.0041,0.9566,0.2211,0.0579,0.0599,0.0269,All Grades,276,No,0.07608695652173914,Minority,Hispanic
K146,0.0243,0.2185,0.0653,0.2762,0.2944,0.4112,0.0607,0.2443,All Grades,304,NA,NA,Minority,White
K154,0.0603,0.1956,0.0695,0.1755,0.159,0.6325,0.0695,0.0329,All Grades,336,No,0.03773584905660377,White,White
K169,0.4497,0.4281,0.0018,1,0.1445,0.0433,0.5129,0.0138,All Grades,308,No,0.038461538461538464,Minority,Asian
K172,0.263,0.7722,0.0034,0.8744,0.2462,0.1223,0.062,0.0402,All Grades,354,No,0.047619047619047616,Minority,Hispanic
K230,0.3086,0.3146,0.0106,1,0.1562,0.1895,0.4685,0.0167,All Grades,313,No,0.1794871794871795,Minority,Asian
K261,0.056,0.2304,0.0436,0.4035,0.1918,0.3885,0.0585,0.279,All Grades,315,No,0.060810810810810814,Minority,White
K295,0.1811,0.4663,0.0443,1,0.2312,0.2948,0.1195,0.0751,All Grades,322,NA,NA,Minority,Hispanic
K321,0.0149,0.0829,0.0537,0.0754,0.1243,0.7507,0.0645,0.0482,All Grades,345,No,0.017699115044247787,White,White
K429,0.076,0.388,0.004,0.856,0.344,0.048,0.016,0.544,All Grades,261,NA,NA,Minority,Black
K442,0.0933,0.4456,0.0155,0.7358,0.4197,0.1347,0.057,0.3472,All Grades,304,NA,NA,Minority,Hispanic
K443,0.0151,0.3936,0.0169,0.3917,0.2072,0.3785,0.0584,0.1525,All Grades,327,NA,NA,Minority,Hispanic
K447,0.0097,0.1718,0.0174,0.2143,0.168,0.5386,0.083,0.1892,All Grades,346,NA,NA,White,White
K448,0.0642,0.4715,0.0102,0.7416,0.3241,0.0905,0.0423,0.3854,All Grades,270,NA,NA,Minority,Hispanic
K464,0.1111,0.3877,0.052,0.773,0.2222,0.0946,0.0804,0.3853,All Grades,302,NA,NA,Minority,Hispanic
K497,0.1073,0.4056,0.0129,0.7296,0.1867,0.1116,0.0322,0.4378,All Grades,297,NA,NA,Minority,Black
K516,0.533,0.6193,0,0.9391,0.0914,0.0152,0.3655,0,All Grades,304,No,0.2727272727272727,Minority,Hispanic
K839,0.075,0.33,0.028,0.425,0.236,0.358,0.142,0.142,All Grades,310,No,0.07692307692307693,Minority,White
K676,0.1096,0.5297,0,0.9726,0.1781,0.0183,0.0137,0.4384,All Grades,276,NA,NA,Minority,Hispanic
K821,0.1063,0.7837,0.0057,0.9393,0.2144,0.0455,0.1499,0.0152,All Grades,303,NA,NA,Minority,Hispanic
K005,0.0784,0.1642,0.0075,0.8545,0.2388,0.0299,0.0037,0.7948,All Grades,302,No,0.007874015748031496,Minority,Black
K021,0.0125,0.0766,0.0047,1,0.1859,0.0125,0.0094,0.8969,All Grades,304,No,0.024,Minority,Black
K025,0.0904,0.2542,0.0113,0.8983,0.2599,0.0056,0.0169,0.7119,All Grades,313,No,0.012658227848101266,Minority,Black
K026,0.064,0.284,0.004,1,0.224,0.008,0.016,0.688,All Grades,312,No,0.10215053763440861,Minority,Black
K028,0.0639,0.1416,0.0183,0.9909,0.1918,0.0274,0.0091,0.8037,All Grades,297,No,0.11538461538461539,Minority,Black
K035,0.0324,0.1297,0.0108,0.9243,0.3135,0.0162,0.0054,0.8378,All Grades,281,No,0,Minority,Black
K040,0.0637,0.172,0.0032,1,0.2325,0.0127,0.0478,0.7643,All Grades,303,No,0.050724637681159424,Minority,Black
K057,0.0782,0.2626,0.0112,1,0.3017,0,0.0168,0.7095,All Grades,294,No,0.07246376811594203,Minority,Black
K081,0.0772,0.3796,0.0309,0.8889,0.287,0,0.0123,0.5772,All Grades,282,No,0.029411764705882353,Minority,Black
K243,0.0346,0.1923,0.0077,0.9308,0.2,0,0.0538,0.7462,All Grades,286,No,0.24817518248175183,Minority,Black
K381,0.0854,0.1677,0.0091,1,0.1677,0.0976,0.061,0.6646,All Grades,300,NA,NA,Minority,Black
K262,0.0343,0.1199,0.0021,0.9079,0.1713,0.0086,0.0214,0.848,All Grades,278,No,0.17355371900826447,Minority,Black
K267,0.0573,0.163,0.0705,0.859,0.3172,0.0352,0.022,0.7093,All Grades,303,NA,NA,Minority,Black
K308,0.0507,0.1797,0.0069,0.8433,0.2419,0.0069,0.0184,0.788,All Grades,264,No,0.15151515151515152,Minority,Black
K309,0.092,0.2452,0.0153,0.8582,0.2605,0.0038,0.0613,0.6743,All Grades,275,No,0.042105263157894736,Minority,Black
K335,0.0517,0.1611,0.003,0.8784,0.2371,0.0243,0.0061,0.8055,All Grades,292,No,0.037037037037037035,Minority,Black
K584,0.0865,0.1923,0.0192,0.875,0.3462,0,0.0096,0.7788,All Grades,255,NA,NA,Minority,Black
K627,0.0268,0.2148,0,0.8591,0.1275,0.0134,0,0.7718,All Grades,299,NA,NA,Minority,Black
K628,0,0.0901,0.0129,0.721,0.1288,0.0472,0,0.8498,All Grades,304,NA,NA,Minority,Black
K681,0.0288,0.1779,0.0048,0.8221,0.2837,0.0144,0.0048,0.7981,All Grades,282,NA,NA,Minority,Black
K002,0.0565,0.1151,0.0084,0.8577,0.1674,0.023,0.0335,0.8201,All Grades,287,No,0.2066115702479339,Minority,Black
K006,0.1387,0.2427,0.0093,1,0.1813,0.0173,0.0027,0.728,All Grades,285,No,0.18115942028985507,Minority,Black
K012,0.0326,0.1674,0.0047,0.8093,0.2186,0.0186,0.014,0.7953,All Grades,300,No,0.19827586206896552,Minority,Black
K061,0.0636,0.1072,0.0499,1,0.1459,0.0062,0.0137,0.8229,All Grades,287,No,0.08536585365853659,Minority,Black
K091,0.0818,0.0607,0.0023,0.9182,0.229,0,0.0047,0.9322,All Grades,290,No,0,Minority,Black
K092,0.1452,0.1473,0.0062,0.9066,0.1515,0.0083,0.0581,0.7801,All Grades,281,No,0.23529411764705882,Minority,Black
K138,0.0457,0.0854,0.0074,0.8704,0.1546,0.0236,0.0133,0.8704,All Grades,304,No,0.09722222222222222,Minority,Black
K161,0.0439,0.1339,0.0254,0.8984,0.1501,0.0162,0.0693,0.7552,All Grades,295,No,0.10465116279069768,Minority,Black
K181,0.0964,0.1005,0.0315,1,0.1513,0.0254,0.0041,0.8386,All Grades,279,No,0.12376237623762376,Minority,Black
K189,0.1914,0.2473,0.0055,0.924,0.1145,0.0018,0.0156,0.7299,All Grades,319,No,0.05319148936170213,Minority,Black
K191,0.034,0.1942,0.0194,0.9757,0.199,0,0.0097,0.7767,All Grades,313,No,0.1782178217821782,Minority,Black
K221,0.059,0.0849,0.0071,0.8608,0.1698,0.0189,0.0047,0.8844,All Grades,302,No,0.09836065573770492,Minority,Black
K241,0.0929,0.0945,0.0182,0.8706,0.1045,0.0199,0.005,0.86240000000000006,All Grades,300,No,0.06521739130434782,Minority,Black
K246,0.1955,0.1588,0.007,1,0.2688,0.0157,0.0175,0.801,All Grades,273,No,0.1917808219178082,Minority,Black
K249,0.2309,0.4895,0.0044,1,0.1443,0.0388,0.0588,0.4084,All Grades,330,No,0.0661764705882353,Minority,Hispanic
K289,0.06,0.157,0.0185,1,0.2564,0.0115,0.0115,0.8014,All Grades,304,No,0.18125,Minority,Black
K316,0.0333,0.1583,0.0278,0.8194,0.1889,0.05,0.0111,0.7528,All Grades,320,No,0.07258064516129033,Minority,Black
K340,0.01,0.11,0.01,0.895,0.155,0.015,0.015,0.85,All Grades,294,NA,NA,Minority,Black
K352,0.2189,0.2446,0,0.9657,0.2446,0.0429,0.0129,0.6996,All Grades,279,NA,NA,Minority,Black
K353,0.0474,0.1462,0,0.8617,0.249,0.0632,0.0079,0.7826,All Grades,285,NA,NA,Minority,Black
K354,0.0885,0.1372,0.0133,0.9248,0.2566,0.0133,0.031,0.8053,All Grades,305,NA,NA,Minority,Black
K375,0.2177,0.2923,0.0121,0.8972,0.2399,0.0423,0.0302,0.623,All Grades,287,NA,NA,Minority,Black
K382,0.0713,0.1248,0.0099,0.798,0.1822,0.0099,0.0119,0.8436,All Grades,279,NA,NA,Minority,Black
K394,0.0366,0.1248,0.0033,0.8902,0.1381,0.0083,0.0399,0.8236,All Grades,278,NA,NA,Minority,Black
K397,0.0955,0.0924,0.0096,0.9459,0.1497,0.0382,0.0255,0.8344,All Grades,301,No,0.045454545454545456,Minority,Black
K398,0.0699,0.1205,0.1036,0.9614,0.2096,0.0048,0.0072,0.7639,All Grades,293,No,0.02631578947368421,Minority,Black
K399,0.0739,0.1377,0.1098,0.9481,0.0758,0.008,0.022,0.7226,All Grades,290,No,0.1774193548387097,Minority,Black
K484,0.0395,0.1447,0.0066,0.8026,0.2632,0.0066,0.0132,0.8289,All Grades,288,NA,NA,Minority,Black
K531,0.0566,0.0778,0.0047,0.8538,0.1816,0.0094,0.0118,0.8962,All Grades,283,NA,NA,Minority,Black
K532,0.0696,0.1681,0.0203,0.8928,0.1623,0.0203,0.0058,0.7855,All Grades,282,NA,NA,Minority,Black
K533,0.0596,0.0972,0.0125,0.8025,0.2602,0.0125,0.0031,0.8746,All Grades,278,NA,NA,Minority,Black
K543,0.0019,0.0659,0.0136,0.7829,0.0465,0.0078,0.0329,0.8798,All Grades,316,NA,NA,Minority,Black
K590,0.0047,0.0354,0.0283,0.712,0.0346,0.0063,0.0315,0.8985,All Grades,334,No,0.176056338028169,Minority,Black
K705,0.0765,0.2735,0.0176,0.6353,0.2294,0.1294,0.0559,0.5235,All Grades,281,No,0.1875,Minority,Black
K722,0.0741,0.0864,0.0586,0.9259,0.2531,0.0031,0.0031,0.8488,All Grades,278,No,0.0449438202247191,Minority,Black
K770,0.0204,0.0952,0.068,0.6565,0.1361,0.1088,0.0102,0.7177,All Grades,291,NA,NA,Minority,Black
K066,0.0221,0.0761,0.0123,0.73740000000000006,0.0957,0.0307,0.0061,0.8748,All Grades,305,No,0.08024691358024691,Minority,Black
K068,0.1371,0.0475,0.0055,0.7294,0.2395,0.0311,0.0073,0.9086,All Grades,283,No,0.22413793103448276,Minority,Black
K114,0.105,0.085,0.005,1,0.1767,0.06,0.0217,0.8283,All Grades,295,No,0.09090909090909091,Minority,Black
K115,0.0293,0.081,0.0095,1,0.1284,0.0284,0.031,0.85,All Grades,299,No,0.03571428571428571,Minority,Black
K135,0.0254,0.0734,0.015,0.8877,0.0928,0.0165,0.0075,0.8877,All Grades,294,No,0.08333333333333333,Minority,Black
K208,0.0392,0.0414,0.0087,0.8322,0.1656,0.0174,0.0196,0.9129,All Grades,294,No,0.1896551724137931,Minority,Black
K211,0.0417,0.0689,0.008,0.8157,0.2179,0.0096,0.0016,0.9119,All Grades,284,No,0.14285714285714285,Minority,Black
K219,0.0479,0.0957,0.0124,1,0.2128,0.0071,0.0142,0.8706,All Grades,291,No,0.0958904109589041,Minority,Black
K233,0.0247,0.038,0.0038,0.8975,0.1461,0.0076,0.0038,0.9469,All Grades,294,No,0.030927835051546393,Minority,Black
K235,0.0078,0.0196,0.0126,0.7465,0.0636,0.0133,0.0141,0.9403,All Grades,320,No,0.109375,Minority,Black
K244,0.0291,0.023,0.0046,0.8144,0.2147,0.0061,0.0031,0.9632,All Grades,297,No,0.05970149253731343,Minority,Black
K268,0.0616,0.0434,0,0.9247,0.1279,0.0183,0.0114,0.9269,All Grades,284,No,0.05343511450381679,Minority,Black
K272,0.0196,0.1513,0.0216,0.8625,0.22,0.0216,0.0196,0.7859,All Grades,282,No,0.13709677419354838,Minority,Black
K276,0.0637,0.0451,0.0358,0.805,0.1419,0.0133,0.0119,0.8939,All Grades,291,No,0.0873015873015873,Minority,Black
K279,0.0175,0.0369,0.0058,0.8194,0.1126,0.0117,0.0136,0.932,All Grades,287,No,0.2261904761904762,Minority,Black
K285,0.0235,0.0471,0.0037,0.8711,0.1623,0.0099,0.005,0.9343,All Grades,284,No,0.08333333333333333,Minority,Black
K366,0.0354,0.0806,0.002,0.7112,0.1709,0.0138,0.0079,0.8959,All Grades,286,No,0.07142857142857142,Minority,Black
K581,0.0989,0.0275,0.0659,0.8791,0.2692,0.0165,0.011,0.8791,All Grades,277,NA,NA,Minority,Black
K588,0.0757,0.0837,0.008,0.9084,0.2072,0,0.004,0.9044,All Grades,272,NA,NA,Minority,Black
K598,0.0756,0.0546,0,0.6765,0.1681,0.0084,0.0042,0.9328,All Grades,276,NA,NA,Minority,Black
K763,0.0128,0.0128,0,0.7821,0.1538,0,0,0.9872,All Grades,291,No,0,Minority,Black
K007,0.161,0.7907,0.0203,0.8949,0.1437,0.0231,0.0656,0.1003,All Grades,292,No,0.041666666666666664,Minority,Hispanic
K013,0.1011,0.2945,0.0154,0.9758,0.167,0.0132,0.0132,0.6637,All Grades,281,No,0.0945945945945946,Minority,Black
K065,0.2442,0.8099,0.0572,1,0.1128,0.0015,0.017,0.1144,All Grades,314,No,0.07692307692307693,Minority,Hispanic
K089,0.4317,0.9515,0.0132,0.9537,0.2093,0,0.0088,0.0264,All Grades,280,NA,NA,Minority,Hispanic
K108,0.1271,0.7646,0.0133,1,0.2033,0.0155,0.0497,0.1569,All Grades,308,No,0.10344827586206896,Minority,Hispanic
K149,0.0801,0.3176,0.0029,0.9557,0.1245,0.0114,0.0272,0.6409,All Grades,290,No,0.011494252873563218,Minority,Black
K158,0.072,0.4545,0.0257,0.8559,0.1887,0.0017,0.0103,0.5077,All Grades,290,No,0,Minority,Black
K159,0.1874,0.2443,0.0193,1,0.1221,0.0097,0.3132,0.4135,All Grades,293,No,0.11320754716981132,Minority,Black
K171,0.2145,0.735,0.0379,0.9479,0.1498,0.0126,0.0568,0.1577,All Grades,283,No,0.1,Minority,Hispanic
K190,0.0057,0.1771,0,0.9371,0.0971,0.0057,0,0.8171,All Grades,292,No,0.21008403361344538,Minority,Black
K202,0.0914,0.3693,0.011,0.9104,0.1846,0.0183,0.0091,0.5923,All Grades,277,No,0.1506849315068493,Minority,Black
K213,0.0657,0.1616,0.0051,0.9318,0.197,0.0278,0.0076,0.798,All Grades,277,No,0.031914893617021274,Minority,Black
K214,0.141,0.3458,0.003,1,0.1268,0.0172,0.5041,0.1298,All Grades,294,No,0.18032786885245902,Minority,Asian
K218,0.1602,0.3658,0.0087,0.8723,0.2641,0.0108,0.1905,0.4242,All Grades,275,No,0.043010752688172046,Minority,Black
K224,0.0442,0.2462,0.0077,0.9442,0.2096,0.0192,0.0231,0.7038,All Grades,275,No,0.06666666666666667,Minority,Black
K273,0.0206,0.2353,0.0088,1,0.2324,0.0147,0,0.7412,All Grades,278,No,0.1917808219178082,Minority,Black
K290,0.1993,0.7172,0.0085,0.9557,0.1227,0.0102,0.0392,0.2249,All Grades,305,No,0.06862745098039216,Minority,Hispanic
K292,0.1009,0.3242,0.0144,0.9409,0.1671,0.013,0.1153,0.5331,All Grades,290,No,0.1044776119402985,Minority,Black
K306,0.0256,0.2288,0.0112,1,0.2816,0.0032,0.0064,0.7504,All Grades,276,No,0.10091743119266056,Minority,Black
K311,0.1259,0.1852,0,0.9185,0.2593,0.0519,0.0148,0.7481,All Grades,260,NA,NA,Minority,Black
K325,0.0402,0.2209,0.008,0.9518,0.1807,0.004,0,0.7671,All Grades,296,NA,NA,Minority,Black
K328,0.1493,0.3611,0.0139,0.9931,0.184,0.0278,0.0174,0.5799,All Grades,286,No,0.08088235294117647,Minority,Black
K345,0.1278,0.4921,0.0221,1,0.1435,0.0205,0.0536,0.4117,All Grades,290,No,0.06201550387596899,Minority,Hispanic
K346,0.0252,0.2268,0.0189,0.8047,0.1717,0.0488,0.0551,0.6504,All Grades,289,No,0.044585987261146494,Minority,Black
K364,0.0145,0.237,0.0087,0.7168,0.237,0.0289,0.0116,0.7139,All Grades,278,No,0.07142857142857142,Minority,Black
K404,0.011,0.2395,0.0201,0.7587,0.1682,0.0073,0.0128,0.7203,All Grades,269,NA,NA,Minority,Black
K409,0.0209,0.2756,0.0146,0.7599,0.1378,0.0021,0.0313,0.6764,All Grades,300,NA,NA,Minority,Black
K422,0.0131,0.2052,0.0087,0.917,0.2052,0.0087,0.0175,0.7598,All Grades,281,No,0.12560386473429952,Minority,Black
K452,0.0346,0.2111,0.0035,0.7232,0.1661,0.0035,0.0623,0.7197,All Grades,297,NA,NA,Minority,Black
K557,0.0746,0.3202,0.0088,1,0.1974,0.0088,0.0088,0.6535,All Grades,272,NA,NA,Minority,Black
K654,0.1549,0.3099,0.0047,1,0.277,0.0094,0.0094,0.6667,All Grades,262,NA,NA,Minority,Black
K661,0.1511,0.6533,0.0089,0.9067,0.2089,0.0133,0.0444,0.28,All Grades,298,NA,NA,Minority,Hispanic
K662,0.161,0.6575,0.0103,0.9555,0.1747,0.0171,0.0616,0.2534,All Grades,280,No,0,Minority,Hispanic
K663,0.0571,0.3048,0,1,0.3048,0.0095,0.0286,0.6571,All Grades,269,NA,NA,Minority,Black
K677,0.1119,0.3288,0.0068,0.8576,0.1576,0.0068,0.0237,0.6339,All Grades,289,No,0.03333333333333333,Minority,Black
K678,0.0532,0.3536,0.0038,0.7567,0.2091,0.0076,0.0418,0.5932,All Grades,268,NA,NA,Minority,Black
K760,0.1478,0.7217,0.0174,0.8522,0.1739,0.0087,0,0.2522,All Grades,279,NA,NA,Minority,Hispanic
K030,0.2544,0.2834,0.0081,0.7858,0.1643,0.4783,0.2142,0.0161,All Grades,313,NA,NA,Minority,White
K048,0.2719,0.2516,0.0156,1,0.1609,0.2469,0.4781,0.0078,All Grades,315,No,0.06896551724137931,Minority,Asian
K062,0.2401,0.3133,0.0031,0.8324,0.1769,0.1286,0.3048,0.2502,All Grades,300,No,0.2222222222222222,Minority,Hispanic
K069,0.5813,0.0676,0,0.9727,0.1044,0.0641,0.866,0.0024,All Grades,330,No,0.0990990990990991,Minority,Asian
K102,0.1427,0.2486,0.0195,0.6585,0.1542,0.5749,0.147,0.0101,All Grades,321,No,0.125,White,White
K104,0.1001,0.2502,0.025,0.6188,0.1334,0.4771,0.2102,0.0375,All Grades,321,No,0.11940298507462686,Minority,White
K105,0.5216,0.045,6e-4,1,0.0577,0.0294,0.9238,0.0012,All Grades,338,No,0.11764705882352941,Minority,Asian
K112,0.229,0.3023,0.0018,1,0.1843,0.2612,0.4329,0.0018,All Grades,318,No,0.14516129032258066,Minority,Asian
K127,0.2697,0.2254,0.0039,0.7938,0.1927,0.5067,0.2486,0.0154,All Grades,316,No,0.1518987341772152,White,White
K160,0.7288,0.1079,0.0022,1,0.0839,0.0464,0.836,0.0075,All Grades,325,No,0.03636363636363636,Minority,Asian
K163,0.1828,0.3301,0.0081,0.8172,0.212,0.3706,0.2864,0.0049,All Grades,318,No,0.06818181818181818,Minority,White
K164,0.181,0.5132,0.0281,1,0.167,0.1178,0.3216,0.0193,All Grades,320,No,0.11428571428571428,Minority,Hispanic
K170,0.3802,0.1946,0.008,0.9142,0.1407,0.3553,0.4301,0.012,All Grades,318,No,0.012578616352201259,Minority,Asian
K176,0.2496,0.2063,0.0043,0.8571,0.0996,0.1667,0.6176,0.0051,All Grades,334,No,0.13580246913580246,Minority,Asian
K179,0.4867,0.2505,0.0092,1,0.1376,0.1437,0.5678,0.0287,All Grades,296,No,0,Minority,Asian
K180,0.2389,0.2606,0.013,0.8671,0.1381,0.2789,0.4353,0.0122,All Grades,322,No,0.046511627906976744,Minority,Asian
K185,0.0684,0.1508,0.0098,0.4288,0.1341,0.7542,0.0824,0.0028,All Grades,326,No,0.08695652173913043,White,White
K186,0.2487,0.2739,0.002,1,0.1349,0.3223,0.3988,0.003,All Grades,320,No,0.07142857142857142,Minority,Asian
K187,0.0236,0.053,0.0079,0.6336,0.0806,0.2308,0.7024,0.0059,All Grades,373,NA,NA,Minority,Asian
K192,0.287,0.5166,0.003,1,0.2221,0.2492,0.2069,0.0242,All Grades,305,No,0.1111111111111111,Minority,Hispanic
K200,0.2106,0.2165,0.0112,0.7857,0.1049,0.433,0.3311,0.0082,All Grades,317,No,0.16923076923076924,Minority,White
K201,0.0901,0.1423,0.0049,0.7373,0.1169,0.3986,0.4493,0.0049,All Grades,331,No,0.2159090909090909,Minority,Asian
K204,0.1124,0.186,0.0042,0.7566,0.1429,0.3491,0.4565,0.0042,All Grades,333,No,0.11764705882352941,Minority,Asian
K205,0.2814,0.2047,9e-4,1,0.1507,0.2561,0.5314,0.007,All Grades,324,No,0,Minority,Asian
K220,0.3491,0.4538,0,1,0.1556,0.1011,0.4327,0.0124,All Grades,317,No,0.0847457627118644,Minority,Hispanic
K223,0.369,0.2694,0.0031,0.9486,0.1394,0.0828,0.5912,0.0535,All Grades,315,No,0.13861386138613863,Minority,Asian
K227,0.2911,0.2408,8e-4,0.8584,0.1424,0.1668,0.5869,0.0047,All Grades,309,No,0.019230769230769232,Minority,Asian
K229,0.0971,0.1099,0.0111,0.5554,0.1329,0.3424,0.5281,0.0085,All Grades,335,No,0.006369426751592357,Minority,Asian
K247,0.219,0.1277,0.0036,1,0.1582,0.3747,0.4878,0.0061,All Grades,337,No,0.21428571428571427,Minority,Asian
K259,0.1254,0.2468,0.0034,0.7898,0.10780000000000001,0.3146,0.4244,0.0108,All Grades,329,No,0.0847457627118644,Minority,Asian
K264,0.1466,0.3405,0.0151,0.6552,0.1703,0.4784,0.1336,0.0323,All Grades,313,No,0.0546875,Minority,White
K310,0.6943,0.0853,0,0.9597,0.1066,0.0711,0.8365,0.0071,All Grades,332,No,0.11926605504587157,Minority,Asian
K503,0.5448,0.7729,0.0037,0.9649,0.2096,0.0342,0.1791,0.0102,All Grades,290,NA,NA,Minority,Hispanic
K506,0.2736,0.6566,0.0012,0.9616,0.1467,0.0384,0.2945,0.0093,All Grades,304,NA,NA,Minority,Hispanic
K609,0.1089,0.1956,0.004,0.9173,0.1391,0.1169,0.4496,0.2339,All Grades,307,NA,NA,Minority,Asian
K682,0.059,0.1348,0.014,0.441,0.2163,0.6208,0.1854,0.0449,All Grades,326,NA,NA,White,White
K686,0.0544,0.0431,0.0113,0.1927,0.068,0.737,0.1587,0.0499,All Grades,348,NA,NA,White,White
K748,0.1577,0.1958,0.0173,0.6308,0.104,0.3951,0.3882,0.0035,All Grades,341,NA,NA,Minority,White
K971,0.4137,0.4048,0.003,0.9256,0.125,0.0476,0.5268,0.0179,All Grades,306,No,0,Minority,Asian
K090,0.1351,0.5706,0.0135,1,0.1366,0.1622,0.1186,0.1351,All Grades,293,No,0.11023622047244094,Minority,Hispanic
K095,0.1452,0.3845,0.0133,1,0.1626,0.2382,0.2771,0.0869,All Grades,320,No,0.36363636363636365,Minority,Hispanic
K096,0.2759,0.2947,0.0094,1,0.2633,0.2727,0.315,0.1082,All Grades,304,No,0.07291666666666667,Minority,Asian
K097,0.2282,0.2075,0.0085,1,0.1638,0.2973,0.4806,0.0061,All Grades,321,No,0.07692307692307693,Minority,Asian
K098,0.0153,0.0929,0.016,0.5721,0.0784,0.5721,0.2843,0.0347,All Grades,356,NA,NA,White,White
K099,0.2883,0.1922,0.0071,1,0.1542,0.3013,0.414,0.0854,All Grades,305,No,0.10294117647058823,Minority,Asian
K100,0.1185,0.064,0.0054,0.5967,0.1499,0.8501,0.0368,0.0436,All Grades,326,No,0.0410958904109589,White,White
K101,0.1938,0.1748,0.0033,1,0.1637,0.2962,0.5212,0.0045,All Grades,328,No,0.05194805194805195,Minority,Asian
