school_name.x,asian,black,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,school_number,grade,mean_scale_score,latitude,longitude,any_lead_free_buildings,number_of_outlets_result_less,number_of_outlets_result_greater,number_of_outlets,county,school_district,lead_percent,minority,largest,race
P.S. 015 Roberto Clemente,0.0437,0.3552,0.0929,0.5847,0.0055,1,0.3115,0.0109,M015,All Grades,307,-73.978772009,40.721723214,No,69,7,76,New York,NYC DOE,0.09210526315789473,Minority,0.5847,Hispanic
P.S. 019 Asher Levy,0.1111,0.1741,0.0667,0.5852,0.0296,0.7296,0.2852,0.1,M019,All Grades,315,-73.983839017,40.729664147,No,90,1,91,New York,NYC DOE,0.01098901098901099,Minority,0.5852,Hispanic
P.S. 020 Anna Silver,0.3649,0.0837,0.1848,0.4882,0.0237,1,0.2227,0.0395,M020,All Grades,292,-73.986593799,40.7215564,No,119,3,122,New York,NYC DOE,0.02459016393442623,Minority,0.4882,Hispanic
P.S. 034 Franklin D. Roosevelt,0.0633,0.2785,0.0684,0.6203,0.0025,0.9646,0.281,0.0354,M034,All Grades,291,-73.974832039,40.726310786,No,84,4,88,New York,NYC DOE,0.045454545454545456,Minority,0.6203,Hispanic
The STAR Academy - P.S.63,0.0704,0.206,0.0352,0.6231,0,0.8291,0.3166,0.1005,M063,All Grades,309,-73.98624995,40.724082188,No,64,5,69,New York,NYC DOE,0.07246376811594203,Minority,0.6231,Hispanic
P.S. 064 Robert Simon,0.0709,0.1809,0.0674,0.656,0.0177,0.9326,0.3227,0.0745,M064,All Grades,297,-73.981311542,40.724319793,No,107,6,113,New York,NYC DOE,0.05309734513274336,Minority,0.656,Hispanic
P.S. 110 Florence Nightingale,0.1289,0.0979,0.0215,0.4439,0.0382,0.5155,0.1599,0.2912,M110,All Grades,337,-73.979990622,40.716192072,No,40,1,41,New York,NYC DOE,0.024390243902439025,Minority,0.4439,Hispanic
P.S. 134 Henrietta Szold,0.2549,0.1922,0.1255,0.5216,0,0.9333,0.302,0.0314,M134,All Grades,285,-73.983190605,40.714607536,No,134,4,138,New York,NYC DOE,0.028985507246376812,Minority,0.5216,Hispanic
P.S. 140 Nathan Straus,0.0553,0.1053,0.1737,0.7947,0.0053,1,0.3237,0.0395,M140,All Grades,281,-73.983160387,40.719088634,No,94,1,95,New York,NYC DOE,0.010526315789473684,Minority,0.7947,Hispanic
P.S. 142 Amalia Castro,0.0544,0.1425,0.1036,0.7617,0.0259,0.9611,0.2824,0.0155,M142,All Grades,294,-73.984341113,40.718526391,No,108,6,114,New York,NYC DOE,0.05263157894736842,Minority,0.7617,Hispanic
P.S. 184m Shuang Wen,0.7504,0.0316,0.1759,0.0872,0.0436,0.6902,0.1233,0.0872,M184,All Grades,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.7504,Asian
P.S. 188 The Island School,0.0187,0.3133,0.1452,0.6162,0.0021,1,0.2656,0.0498,M188,All Grades,290,-73.977580148,40.719543097,No,88,1,89,New York,NYC DOE,0.011235955056179775,Minority,0.6162,Hispanic
"Technology, Arts, and Sciences Studio",0.0805,0.2685,0.0604,0.5839,0.0336,0.8523,0.396,0.0336,M301,All Grades,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5839,Hispanic
The East Village Community School,0.1003,0.1107,0.0138,0.2215,0.0588,0.2837,0.2457,0.5087,M315,All Grades,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.5087,White
University Neighborhood Middle School,0.0465,0.2093,0.1395,0.6628,0.0349,0.8721,0.3953,0.0465,M332,All Grades,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.6628,Hispanic
The Children's Workshop School,0.1137,0.1137,0.051,0.3608,0.0157,0.4588,0.2235,0.3961,M361,All Grades,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3961,White
Neighborhood School,0.0728,0.149,0.0464,0.2881,0.0132,0.3808,0.255,0.4768,M363,All Grades,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4768,White
Earth School,0.0748,0.1402,0.0467,0.3396,0.0654,0.4237,0.1994,0.3801,M364,All Grades,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3801,White
School for Global Leaders,0.1617,0.2298,0.1404,0.5617,0.0213,1,0.3319,0.0255,M378,All Grades,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5617,Hispanic
East Side Community School,0.0931,0.2147,0.012,0.5646,0.0195,0.7357,0.2688,0.1081,M450,All Grades,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5646,Hispanic
"New Explorations into Science, Technology and Math",0.3326,0.0911,0.0012,0.1095,0.0507,0.2732,0.0363,0.4161,M539,All Grades,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4161,White
Tompkins Square Middle School,0.2201,0.144,0.0353,0.4049,0.038,0.6875,0.2446,0.1929,M839,All Grades,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4049,Hispanic
P.S. 001 Alfred E. Smith,0.6667,0.1118,0.314,0.2043,0.0043,1,0.1634,0.0129,M001,All Grades,320,-73.997285404,40.712707762,No,57,3,60,New York,NYC DOE,0.05,Minority,0.6667,Asian
P.S. 002 Meyer London,0.8566,0.0434,0.4355,0.0842,0,0.9737,0.1697,0.0158,M002,All Grades,331,-73.991371186,40.713247562,No,152,5,157,New York,NYC DOE,0.03184713375796178,Minority,0.8566,Asian
P.S. 003 Charrette School,0.0643,0.0544,0.0445,0.1174,0.0655,0.1619,0.1632,0.6984,M003,All Grades,332,-74.006438004,40.732601417,No,71,5,76,New York,NYC DOE,0.06578947368421052,White,0.6984,White
P.S. 006 Lillie D. Blake,0.1129,0.0248,0.0289,0.0744,0.0344,0.0675,0.1515,0.7534,M006,All Grades,347,-73.960439815,40.777350181,No,129,10,139,New York,NYC DOE,0.07194244604316546,White,0.7534,White
P.S. 011 William T. Harris,0.1273,0.0734,0.0356,0.2775,0.0356,0.2901,0.1376,0.4862,M011,All Grades,328,-74.00072305,40.744520812,No,87,17,104,New York,NYC DOE,0.16346153846153846,Minority,0.4862,White
P.S. 033 Chelsea Prep,0.2492,0.1183,0.0473,0.3107,0.0678,0.4953,0.1167,0.2539,M033,All Grades,332,-73.999657113,40.748834461,No,152,8,160,New York,NYC DOE,0.05,Minority,0.3107,Hispanic
P.S. 040 Augustus Saint-Gaudens,0.0913,0.0288,0.0144,0.1362,0.101,0.0849,0.1651,0.6426,M040,All Grades,346,-73.981750118,40.735042239,No,90,5,95,New York,NYC DOE,0.05263157894736842,White,0.6426,White
P.S. 041 Greenwich Village,0.0938,0.0211,0.0145,0.0951,0.1057,0.0383,0.1572,0.6843,M041,All Grades,342,-73.99922455,40.735745812,No,115,8,123,New York,NYC DOE,0.06504065040650407,White,0.6843,White
P.S. 042 Benjamin Altman,0.9227,0.009,0.2822,0.0374,0.0052,1,0.1314,0.0258,M042,All Grades,341,-73.990912767,40.715919775,No,64,2,66,New York,NYC DOE,0.030303030303030304,Minority,0.9227,Asian
P.S. 051 Elias Howe,0.2114,0.1229,0.1114,0.4743,0.02,1,0.2514,0.1714,M051,All Grades,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4743,Hispanic
P.S. 059 Beekman Hill International,0.1309,0.0235,0.0503,0.1426,0.099,0.1091,0.1644,0.604,M059,All Grades,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.604,White
P.S. 77 Lower Lab School,0.2257,0.0086,0,0.0629,0.08,0.0486,0.1257,0.6229,M077,All Grades,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.6229,White
P.S. 89,0.1448,0.0226,0.0385,0.1493,0.0633,0.0385,0.1516,0.6199,M089,All Grades,341,-74.013425691,40.716523015,No,136,0,136,New York,NYC DOE,0,White,0.6199,White
J.H.S. 104 Simon Baruch,0.4464,0.0885,0.0643,0.2013,0.0196,0.6207,0.1687,0.2442,M104,All Grades,325,-73.980490714,40.735989702,No,66,2,68,New York,NYC DOE,0.029411764705882353,Minority,0.4464,Asian
P.S. 111 Adolph S. Ochs,0.1484,0.1634,0.1333,0.5527,0.0215,1,0.2796,0.114,M111,All Grades,299,-73.989301075,40.766057812,No,115,5,120,New York,NYC DOE,0.041666666666666664,Minority,0.5527,Hispanic
East Side Middle School,0.147,0.0312,0,0.1024,0.0401,0.1136,0.1559,0.6793,M114,All Grades,362,-73.947631369,40.780331298,No,80,1,81,New York,NYC DOE,0.012345679012345678,White,0.6793,White
P.S. 116 Mary Lindley Murray,0.1882,0.0948,0.0862,0.2083,0.0647,0.3563,0.1422,0.444,M116,All Grades,319,-73.978206829,40.744805496,No,80,5,85,New York,NYC DOE,0.058823529411764705,Minority,0.444,White
P.S. 124 Yung Wing,0.9433,0.0058,0.3414,0.0301,0.0035,1,0.0961,0.0174,M124,All Grades,340,-73.995515895,40.714203457000004,No,114,24,138,New York,NYC DOE,0.17391304347826086,Minority,0.9433,Asian
P.S. 126 Jacob August Riis,0.5549,0.1134,0.2182,0.2182,0.0185,0.7855,0.164,0.0949,M126,All Grades,328,-73.996558323,40.710360122,No,98,11,109,New York,NYC DOE,0.10091743119266056,Minority,0.5549,Asian
P.S. 130 Hernando De Soto,0.8749,0.01,0.1722,0.044,0.026,1,0.1211,0.045,M130,All Grades,348,-73.998514006,40.718757625,No,132,5,137,New York,NYC DOE,0.0364963503649635,Minority,0.8749,Asian
M.S. 131,0.8005,0.0813,0.4212,0.1158,0,0.9507,0.2685,0.0025,M131,All Grades,320,-73.992716852,40.716362035,No,159,19,178,New York,NYC DOE,0.10674157303370786,Minority,0.8005,Asian
P.S. 150,0.125,0.0761,0.0326,0.1467,0.1087,0.1576,0.1576,0.5435,M150,All Grades,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.5435,White
Yorkville Community School,0.0699,0.1399,0.0734,0.25,0.0699,0.3811,0.1696,0.4703,M151,All Grades,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4703,White
P.S. 158 Bayard Taylor,0.1091,0.0381,0.042,0.1091,0.0368,0.1314,0.1774,0.707,M158,All Grades,343,-73.951065976,40.770474853,No,80,1,81,New York,NYC DOE,0.012345679012345678,White,0.707,White
J.H.S. 167 Robert F. Wagner,0.2749,0.0968,0.0462,0.2185,0.0264,0.467,0.1826,0.3834,M167,All Grades,336,-73.95797305,40.771970812,No,126,12,138,New York,NYC DOE,0.08695652173913043,Minority,0.3834,White
Yorkville East Middle School,0.125,0.0893,0.0357,0.2857,0.0714,0.3571,0.2857,0.4286,M177,All Grades,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4286,White
P.S. 183 Robert L. Stevenson,0.195,0.037,0.0555,0.1008,0.0286,0.0941,0.1849,0.6387,M183,All Grades,344,-73.957860425,40.763636214,No,50,1,51,New York,NYC DOE,0.0196078431372549,White,0.6387,White
P.S. 198 Isador E. Ida Straus,0.1407,0.1364,0.0628,0.3074,0.0108,0.5108,0.184,0.4048,M198,All Grades,333,-73.949528801,40.784977005,No,140,2,142,New York,NYC DOE,0.014084507042253521,Minority,0.4048,White
P.S. 212 Midtown West,0.0776,0.0693,0.0249,0.2188,0.133,0.1884,0.1163,0.5014,M212,All Grades,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.5014,White
P.S./I.S. 217 Roosevelt Island,0.278,0.1847,0.0746,0.1586,0.0354,0.3507,0.1194,0.3433,M217,All Grades,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3433,White
Ella Baker School,0.0372,0.2105,0.0372,0.418,0.0557,0.4272,0.195,0.2786,M225,All Grades,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.418,Hispanic
P.S. 234 Independence School,0.1152,0.0096,0.0165,0.0754,0.0974,0.0466,0.1605,0.7023,M234,All Grades,335,-74.011067694,40.715932956,No,111,3,114,New York,NYC DOE,0.02631578947368421,White,0.7023,White
M.S. 255 Salk School of Science,0.2137,0.0384,0,0.0849,0.0274,0.1068,0.137,0.6356,M255,All Grades,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.6356,White
M.S. 260 Clinton School Writers & Artists,0.1519,0.063,0.0111,0.1407,0.0333,0.2,0.163,0.6111,M260,All Grades,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.6111,White
"East Side Elementary School, PS 267",0.0906,0.0156,0.0219,0.0625,0.025,0.075,0.1656,0.8062,M267,All Grades,338,-73.964002925,40.763762214,No,96,3,99,New York,NYC DOE,0.030303030303030304,White,0.8062,White
BATTERY PARK CITY SCHOOL,0.2229,0.0455,0.0233,0.1155,0.0618,0.0863,0.1459,0.5543,M276,All Grades,331,-74.017800949,40.706405204,No,180,3,183,New York,NYC DOE,0.01639344262295082,White,0.5543,White
The River School,0.4038,0.0769,0.1827,0.125,0.0096,0.3269,0.1346,0.3846,M281,All Grades,326,-73.972552673,40.74426813,No,136,24,160,New York,NYC DOE,0.15,Minority,0.4038,Asian
I.S. 289,0.3527,0.0788,0.0137,0.1575,0.0274,0.3356,0.1747,0.3836,M289,All Grades,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3836,White
P.S. 290 Manhattan New School,0.1161,0.0139,0.0464,0.0712,0.0573,0.0991,0.1424,0.7415,M290,All Grades,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.7415,White
New York City Lab Middle School for Collaborative,0.4462,0.0197,0.0036,0.0717,0.0789,0.3459,0.1487,0.3835,M312,All Grades,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4462,Asian
The Peck Slip School,0.1491,0.0373,0.0559,0.1118,0.1118,0.0745,0.1366,0.5901,M343,All Grades,329,-74.002381817,40.708761779,No,182,6,188,New York,NYC DOE,0.031914893617021274,White,0.5901,White
The 47 American Sign Language & English Lower Scho,0.0306,0.2296,0.0765,0.4898,0.0357,0.6939,0.5357,0.2143,M347,All Grades,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4898,Hispanic
SPRUCE STREET SCHOOL,0.1419,0.0256,0.0163,0.1233,0.1326,0.0907,0.1279,0.5767,M397,All Grades,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.5767,White
Institute for Collaborative Education,0.0664,0.1452,0,0.1556,0.0685,0.1805,0.0685,0.5643,M407,All Grades,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.5643,White
Professional Performing Arts High School,0.0317,0.2332,0.0019,0.2034,0.0597,0.306,0.1045,0.472,M408,All Grades,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.472,White
School of the Future High School,0.1459,0.1038,0.007,0.3029,0.0898,0.3717,0.1473,0.3576,M413,All Grades,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3576,White
Quest to Learn,0.0957,0.1543,0.0248,0.3617,0.0496,0.4149,0.3032,0.3387,M422,All Grades,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3617,Hispanic
"Ballet Tech, NYC Public School for Dance",0.3733,0.24,0.0067,0.16,0.0333,1,0.0133,0.1933,M442,All Grades,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3733,Asian
PS 527 - East Side School for Social Action,0.172,0.0127,0.0127,0.1338,0.0318,0.1656,0.2038,0.6497,M527,All Grades,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.6497,White
Life Sciences Secondary School,0.0373,0.2912,0.0674,0.6227,0.0172,0.726,0.198,0.0316,M655,All Grades,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.6227,Hispanic
Lower Manhattan Community Middle School,0.4016,0.1366,0.0902,0.2077,0.0355,0.582,0.2814,0.2186,M896,All Grades,323,-73.984611783,40.75595013,No,16,0,16,New York,NYC DOE,0,Minority,0.4016,Asian
City Knoll Middle School,0.0759,0.2152,0.0633,0.481,0.038,0.6835,0.3544,0.1899,M933,All Grades,293,-73.997891366,40.753225163,No,31,1,32,New York,NYC DOE,0.03125,Minority,0.481,Hispanic
P.S. 009 Sarah Anderson,0.0821,0.0441,0.035,0.2143,0.041,0.2112,0.1261,0.6185,M009,All Grades,344,-73.973681575,40.785355845,No,112,3,115,New York,NYC DOE,0.02608695652173913,White,0.6185,White
J.H.S. 054 Booker T. Washington,0.0554,0.0959,0.0123,0.139,0.064,0.2054,0.1205,0.6458,M054,All Grades,352,-73.963371348,40.800361148,No,91,2,93,New York,NYC DOE,0.021505376344086023,White,0.6458,White
P.S. 075 Emily Dickinson,0.0318,0.2491,0.1413,0.5283,0.0247,0.6837,0.2544,0.1661,M075,All Grades,312,-73.973458324,40.794967341,No,139,4,143,New York,NYC DOE,0.027972027972027972,Minority,0.5283,Hispanic
P.S. 076 A. Philip Randolph,0.0038,0.7846,0.0904,0.1827,0.0058,0.8904,0.1712,0.0231,M076,All Grades,276,-73.951181491,40.806785819,No,109,2,111,New York,NYC DOE,0.018018018018018018,Minority,0.7846,Black
P.S. 084 Lillian Weber,0.0154,0.1478,0.096,0.4472,0.0384,0.5317,0.1651,0.3512,M084,All Grades,318,-73.967835101,40.789623793,No,108,0,108,New York,NYC DOE,0,Minority,0.4472,Hispanic
P.S. 087 William Sherman,0.0697,0.048,0.0366,0.1474,0.0811,0.0891,0.1566,0.6537,M087,All Grades,340,-73.977803491,40.781988786,No,174,2,176,New York,NYC DOE,0.011363636363636364,White,0.6537,White
"P.S. 145, The Bloomingdale School",0.0128,0.2685,0.1176,0.6419,0.0281,1,0.2148,0.0486,M145,All Grades,287,-73.965135101,40.799279819,No,132,3,135,New York,NYC DOE,0.022222222222222223,Minority,0.6419,Hispanic
P.S. 149 Sojourner Truth,0.0279,0.669,0.0906,0.2369,0.0488,0.8641,0.2822,0.0174,M149,All Grades,270,-73.948193659,40.803076845,No,152,4,156,New York,NYC DOE,0.02564102564102564,Minority,0.669,Black
P.S. 163 Alfred E. Smith,0.0668,0.1686,0.0718,0.4591,0.0334,0.5159,0.1536,0.2721,M163,All Grades,327,-73.96891253,40.79435821,No,105,5,110,New York,NYC DOE,0.045454545454545456,Minority,0.4591,Hispanic
P.S. 165 Robert E. Simon,0.0433,0.1384,0.1757,0.6907,0.0168,0.7653,0.1805,0.1107,M165,All Grades,296,-73.965951466,40.803029812,No,73,3,76,New York,NYC DOE,0.039473684210526314,Minority,0.6907,Hispanic
P.S. 166 The Richard Rodgers School of The Arts an,0.1122,0.0667,0.0537,0.1789,0.0537,0.252,0.1203,0.5886,M166,All Grades,345,-73.972425101,40.789090845,No,134,8,142,New York,NYC DOE,0.056338028169014086,White,0.5886,White
P.S. 180 Hugo Newman,0.016,0.568,0.0528,0.2896,0.04,0.704,0.1616,0.0864,M180,All Grades,292,-73.955641159,40.807845786,No,127,4,131,New York,NYC DOE,0.030534351145038167,Minority,0.568,Black
P.S. 191 Amsterdam,0.0735,0.3327,0.0816,0.4653,0.0143,0.7673,0.2735,0.1143,M191,All Grades,277,-73.987152547,40.771771716,No,130,2,132,New York,NYC DOE,0.015151515151515152,Minority,0.4653,Hispanic
P.S. 199 Jessie Isador Straus,0.1282,0.0146,0.027,0.1339,0.0641,0.0697,0.1474,0.6592,M199,All Grades,346,-73.984472758,40.778053775,No,124,1,125,New York,NYC DOE,0.008,White,0.6592,White
P.S. 208 Alain L. Locke,0.0191,0.6433,0.1019,0.3121,0,0.9554,0.2994,0.0255,M208,All Grades,283,-73.95041195,40.798188188,No,106,2,108,New York,NYC DOE,0.018518518518518517,Minority,0.6433,Black
STEM Institute of Manhattan,0.02,0.48,0.15,0.46,0,0.89,0.34,0.04,M241,All Grades,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.48,Black
P.S. 242 - The Young Diplomats Magnet Academy,0.009,0.6742,0.095,0.2624,0.0226,0.9231,0.3167,0.0317,M242,All Grades,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.6742,Black
M.S. 243 Center School,0.0826,0.1478,0.0087,0.1261,0.0174,1,0.0957,0.6261,M243,All Grades,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.6261,White
M.S. M245 The Computer School,0.0728,0.1699,0.0218,0.2573,0.0388,0.2961,0.1748,0.4612,M245,All Grades,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4612,White
M.S. M247 Dual Language Middle School,0,0.0051,0.2589,0.9949,0,0.9746,0.2386,0,M247,All Grades,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.9949,Hispanic
M.S. 250 West Side Collaborative Middle School,0.037,0.3492,0.0635,0.5079,0.0106,0.6825,0.2593,0.0952,M250,All Grades,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5079,Hispanic
M.S. 256 Academic & Athletic Excellence,0.007,0.4859,0.1549,0.4296,0.0141,0.7958,0.2746,0.0634,M256,All Grades,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4859,Black
Young Women's Leadership School,0.0792,0.2667,0.0229,0.6021,0.0208,0.8062,0.1771,0.0312,M610,All Grades,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.6021,Hispanic
Community Action School - MS 258,0.0235,0.4706,0.0392,0.4235,0.0078,1,0.3137,0.0745,M258,All Grades,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4706,Black
P.S. 333 Manhattan School for Children,0.0659,0.1014,0.0184,0.17,0.0211,0.17,0.1884,0.6416,M333,All Grades,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.6416,White
The Anderson School,0.2805,0.0453,0.0017,0.0923,0.047,0.0976,0.0331,0.5348,M334,All Grades,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.5348,White
Wadleigh Secondary School for the Performing & Vis,0.018,0.5326,0.053900000000000003,0.4337,0.009,1,0.2247,0.0067,M415,All Grades,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5326,Black
West Prep Academy,0.0205,0.5436,0.0667,0.3692,0.0154,1,0.3026,0.0513,M421,All Grades,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5436,Black
P.S. 452,0.1049,0.0839,0.021,0.1224,0.0455,0.1084,0.2133,0.6434,M452,All Grades,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,0.6434,White
Special Music School,0.1732,0.1429,0.0043,0.1212,0.1212,0.1558,0.1082,0.4416,M859,All Grades,366,-73.931403991,40.849057761,No,14,0,14,New York,NYC DOE,0,Minority,0.4416,White
Frederick Douglass Academy II Secondary School,0.0243,0.7007,0.09,0.2433,0.017,0.7032,0.2287,0.0146,M860,All Grades,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.7007,Black
Mott Hall II,0.074,0.2544,0.0178,0.3876,0.0266,0.429,0.1627,0.2574,M862,All Grades,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3876,Hispanic
P.S. 007 Samuel Stern,0.0182,0.2883,0.1351,0.6364,0.0156,1,0.2623,0.0416,M007,All Grades,298,-73.939211491,40.800933786,No,98,9,107,New York,NYC DOE,0.08411214953271028,Minority,0.6364,Hispanic
Tag Young Scholars,0.3067,0.2825,0,0.2286,0.052,0.5,0.0483,0.1301,M012,All Grades,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.3067,Asian
River East Elementary,0,0.4434,0.0452,0.5339,0,0.8462,0.2172,0.0226,M037,All Grades,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5339,Hispanic
P.S. 38 Roberto Clemente,0.0528,0.3321,0.1245,0.5698,0.0151,0.9623,0.2528,0.0302,M038,All Grades,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5698,Hispanic
P.S. 050 Vito Marcantonio,0.0089,0.3669,0.0858,0.6036,0.0089,1,0.3047,0.0118,M050,All Grades,271,-73.942264209,40.785638958,No,122,17,139,New York,NYC DOE,0.1223021582733813,Minority,0.6036,Hispanic
James Weldon Johnson,0.0397,0.2593,0.1343,0.6752,0.0047,1,0.2722,0.021,M057,All Grades,292,-73.941364959,40.797588793,No,127,10,137,New York,NYC DOE,0.072992700729927,Minority,0.6752,Hispanic
The Lexington Academy,0.0124,0.151,0.1297,0.8153,0.0036,0.9396,0.2078,0.0178,M072,All Grades,286,-73.947640841,40.791130155,No,62,1,63,New York,NYC DOE,0.015873015873015872,Minority,0.8153,Hispanic
P.S. 083 Luis Munoz Rivera,0.1303,0.218,0.0674,0.6157,0.0112,0.8787,0.209,0.0247,M083,All Grades,307,-73.942080538,40.793001097,No,109,4,113,New York,NYC DOE,0.035398230088495575,Minority,0.6157,Hispanic
P.S. 096 Joseph Lanzetta,0.011,0.2901,0.211,0.6703,0.0066,1,0.2923,0.022,M096,All Grades,276,-73.936974991,40.799979786,No,83,4,87,New York,NYC DOE,0.04597701149425287,Minority,0.6703,Hispanic
P.S. 102 Jacques Cartier,0.0538,0.288,0.1044,0.6013,0.019,0.8703,0.288,0.038,M102,All Grades,294,-73.938622757,40.794856155,No,68,6,74,New York,NYC DOE,0.08108108108108109,Minority,0.6013,Hispanic
P.S. 108 Assemblyman Angelo Del Toro Educational C,0.0383,0.2732,0.123,0.6565,0.0144,1,0.2412,0.0176,M108,All Grades,279,-73.948306333,40.795196878,No,95,7,102,New York,NYC DOE,0.06862745098039216,Minority,0.6565,Hispanic
P.S. 146 Ann M. Short,0.0264,0.2788,0.2043,0.6731,0.0072,0.9615,0.4591,0.0144,M146,All Grades,289,-73.939021764,40.789200174,No,129,8,137,New York,NYC DOE,0.058394160583941604,Minority,0.6731,Hispanic
P.S. 155 William Paca,0.0194,0.1028,0.3722,0.8667,0.0111,0.9833,0.3,0,M155,All Grades,271,-73.936350425,40.797314214,No,114,5,119,New York,NYC DOE,0.04201680672268908,Minority,0.8667,Hispanic
P.S. 171 Patrick Henry,0.0508,0.25,0.0192,0.6511,0.0096,1,0.2047,0.0385,M171,All Grades,330,-73.951469534,40.791942188,No,92,7,99,New York,NYC DOE,0.0707070707070707,Minority,0.6511,Hispanic
The Bilingual Bicultural School,0.0167,0.0861,0.3361,0.8861,0.0083,0.9472,0.1889,0.0028,M182,All Grades,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.8861,Hispanic
P.S. 206 Jose Celso Barbosa,0.0403,0.2712,0.1419,0.6017,0.0275,1,0.3708,0.0593,M206,All Grades,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.6017,Hispanic
Harbor Heights,0,0,0.9562,1,0,0.9708,0.0073,0,M349,All Grades,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,1,Hispanic
M.S. 224 Manhattan East School for Arts & Academic,0.0723,0.3133,0.0723,0.494,0.006,0.6627,0.1747,0.1145,M224,All Grades,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.494,Hispanic
ESPERANZA PREPARATORY ACADEMY,0.0158,0.1637,0.3274,0.7988,0.0059,0.9467,0.288,0.0158,M372,All Grades,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.7988,Hispanic
Mosaic Preparatory Academy,0.0564,0.368,0.1039,0.5282,0.0297,0.9614,0.2938,0.0178,M375,All Grades,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5282,Hispanic
Renaissance School of the Arts,0,0.4311,0.0719,0.5689,0,0.8144,0.2934,0,M377,All Grades,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5689,Hispanic
Global Technology Preparatory,0.0395,0.452,0.0791,0.5028,0,1,0.3616,0.0056,M406,All Grades,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5028,Hispanic
