school_name.x,asian,black,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,school_number,grade,mean_scale_score,latitude,longitude,any_lead_free_buildings,number_of_outlets_result_less,number_of_outlets_result_greater,number_of_outlets,county,school_district,lead_percent,minority,largest,race
P.S. 104 The Bays Water,0.0441,0.5036,0.0967,0.3926,0.0171,1,0.202,0.0427,Q104,All Grades,286,-73.764337646,40.608272788,No,73,4,77,Queens,NYC DOE,0.05194805194805195,Minority,0.5036,Black
P.S. 105 The Bay School,0.0282,0.6345,0.0458,0.3055,0.0141,1,0.2209,0.0176,Q105,All Grades,277,-73.781848081,40.59568032,No,128,1,129,Queens,NYC DOE,0.007751937984496124,Minority,0.6345,Black
P.S. 106,0.019,0.6714,0.0429,0.281,0.0095,0.9619,0.2952,0.019,Q106,All Grades,277,-73.767355996,40.59471095,No,17,9,26,Queens,NYC DOE,0.34615384615384615,Minority,0.6714,Black
P.S. 108 Captain Vincent G. Fowler,0.5288,0.0701,0.0495,0.3482,0.011,0.8468,0.1346,0.0419,Q108,All Grades,319,-73.831560771,40.679508565,No,142,2,144,Queens,NYC DOE,0.013888888888888888,Minority,0.5288,Asian
P.S. / M.S. 114 Belle Harbor,0.0092,0.0214,0.0031,0.0904,0.0077,0.1975,0.2205,0.8714,Q114,All Grades,324,-73.854337797,40.578225896,No,87,3,90,Queens,NYC DOE,0.03333333333333333,White,0.8714,White
P.S. 123,0.109,0.6235,0.0494,0.1962,0.0552,0.9288,0.1642,0.016,Q123,All Grades,297,-73.795321402,40.678389918,No,59,2,61,Queens,NYC DOE,0.03278688524590164,Minority,0.6235,Black
P.S. 124 Osmond A Church,0.4869,0.2464,0.0481,0.2149,0.0293,1,0.1285,0.0225,Q124,All Grades,300,-73.811445717,40.665029276,No,83,0,83,Queens,NYC DOE,0,Minority,0.4869,Asian
M.S. 137 America's School of Heroes,0.5433,0.0551,0.0877,0.3186,0.0588,0.8514,0.1323,0.0241,Q137,All Grades,301,-73.839871219,40.6779816,No,102,0,102,Queens,NYC DOE,0,Minority,0.5433,Asian
P.S. 146 Howard Beach,0.026,0.0231,0.0202,0.329,0.0159,0.531,0.2092,0.6061,Q146,All Grades,313,-73.835179644,40.659927709,No,51,3,54,Queens,NYC DOE,0.05555555555555555,White,0.6061,White
P.S. 155,0.345,0.275,0.0473,0.2049,0.1594,0.9597,0.1296,0.0158,Q155,All Grades,325,-73.810642689,40.679472075,No,55,8,63,Queens,NYC DOE,0.12698412698412698,Minority,0.345,Asian
P.S. 183 Dr. Richard R. Green,0.0399,0.5282,0.0382,0.3472,0.0349,0.9053,0.2791,0.0498,Q183,All Grades,279,-73.805374161,40.589223993,No,146,12,158,Queens,NYC DOE,0.0759493670886076,Minority,0.5282,Black
P.S. 197 The Ocean School,0.0128,0.5,0.188,0.4361,0.0109,0.8577,0.2007,0.0401,Q197,All Grades,290,-73.743992193,40.600172474,No,121,9,130,Queens,NYC DOE,0.06923076923076923,Minority,0.5,Black
J.H.S. 202 Robert H. Goddard,0.334,0.0785,0.0899,0.4872,0.0208,0.8354,0.1561,0.0795,Q202,All Grades,300,-73.845264537,40.671036837,No,100,16,116,Queens,NYC DOE,0.13793103448275862,Minority,0.4872,Hispanic
P.S. 207 Rockwood Park,0.0244,0.0108,0.0014,0.1843,0.019,0.4092,0.1951,0.7615,Q207,All Grades,319,-73.844467009,40.6583143,No,111,1,112,Queens,NYC DOE,0.008928571428571428,White,0.7615,White
J.H.S. 210 Elizabeth Blackwell,0.2825,0.061,0.142,0.6149,0.0016,0.8574,0.1636,0.04,Q210,All Grades,295,-73.847231562,40.683938788,No,79,1,80,Queens,NYC DOE,0.0125,Minority,0.6149,Hispanic
P.S. 223 Lyndon B. Johnson,0.0848,0.6976,0.0304,0.1344,0.0736,0.8928,0.2048,0.0096,Q223,All Grades,292,-73.788936525,40.67399114,No,88,4,92,Queens,NYC DOE,0.043478260869565216,Minority,0.6976,Black
J.H.S. 226 Virgil I. Grissom,0.2486,0.3935,0.0547,0.167,0.1823,0.8205,0.1852,0.0086,Q226,All Grades,285,-73.816968329,40.675676855,No,81,38,119,Queens,NYC DOE,0.31932773109243695,Minority,0.3935,Black
P.S. 232 Lindenwood,0.1152,0.0931,0.0341,0.4092,0.0147,0.5613,0.1484,0.3677,Q232,All Grades,310,-73.851141927,40.665783239,No,116,2,118,Queens,NYC DOE,0.01694915254237288,Minority,0.4092,Hispanic
P.S. 253,0.0208,0.3698,0.2868,0.5698,0.0094,0.9604,0.183,0.0302,Q253,All Grades,298,-73.749007651,40.607529934,No,135,6,141,Queens,NYC DOE,0.0425531914893617,Minority,0.5698,Hispanic
P.S. 254 - The Rosa Parks School,0.1241,0.0635,0.0862,0.7458,0.0106,0.8578,0.1346,0.056,Q254,All Grades,319,-73.847794243,40.697489056,No,155,6,161,Queens,NYC DOE,0.037267080745341616,Minority,0.7458,Hispanic
Channel View School for Research,0.0673,0.4993,0.0146,0.3016,0.0102,1,0.1435,0.1215,Q262,All Grades,296,-73.848736416,40.69181013,No,90,3,93,Queens,NYC DOE,0.03225806451612903,Minority,0.4993,Black
P.S. 273,0.1438,0.1046,0.1013,0.6634,0.0294,0.9379,0.1503,0.0588,Q273,All Grades,304,-73.844603211,40.693664388,No,86,0,86,Queens,NYC DOE,0,Minority,0.6634,Hispanic
Knowledge and Power Preparatory Academy VI,0.057,0.5741,0.0532,0.3346,0.0038,0.8175,0.0837,0.0304,Q282,All Grades,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5741,Black
Hawtree Creek Middle School,0.2118,0.5137,0.0314,0.2,0.0549,0.7569,0.2196,0.0196,Q297,All Grades,286,-73.892487617,40.753180246,No,50,0,50,Queens,NYC DOE,0,Minority,0.5137,Black
Academy of Medical Technology: A College Board Sch,0.0785,0.4772,0.1052,0.3878,0.0283,0.7473,0.1758,0.0283,Q309,All Grades,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4772,Black
WATERSIDE CHILDREN'S STUDIO SCHOOL,0.0305,0.268,0.1002,0.4444,0.0349,0.8039,0.1895,0.2222,Q317,All Grades,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4444,Hispanic
WATERSIDE SCHOOL FOR LEADERSHIP,0.0158,0.5842,0.0632,0.3105,0.0158,0.8737,0.3895,0.0737,Q318,All Grades,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5842,Black
VILLAGE ACADEMY,0.0152,0.7134,0.1494,0.2439,0.0122,1,0.2805,0.0152,Q319,All Grades,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.7134,Black
Scholars' Academy,0.2151,0.1836,0,0.1797,0.0123,0.4885,0.02,0.4094,Q323,All Grades,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4094,White
Goldie Maple Academy,0.0375,0.691,0,0.1835,0.0655,0.7959,0.0543,0.0225,Q333,All Grades,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.691,Black
Wave Preparatory Elementary School,0.0138,0.3977,0.2368,0.5655,0.0138,0.9333,0.1678,0.0092,Q362,All Grades,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5655,Hispanic
J.H.S. 008 Richard S. Grossley,0.1523,0.5473,0.1193,0.2119,0.0761,0.8313,0.2469,0.0123,Q008,All Grades,283,-73.786980808,40.696936261,No,111,17,128,Queens,NYC DOE,0.1328125,Minority,0.5473,Black
P.S. 040 Samuel Huntington,0.0768,0.6056,0.0628,0.2443,0.0227,0.9162,0.1832,0.0506,Q040,All Grades,289,-73.790798977,40.694217167,No,93,1,94,Queens,NYC DOE,0.010638297872340425,Minority,0.6056,Black
P.S. 048 William Wordsworth,0.1054,0.6801,0.065,0.1564,0.0527,0.7786,0.2285,0.0053,Q048,All Grades,304,-73.796690271,40.694228836,No,45,5,50,Queens,NYC DOE,0.1,Minority,0.6801,Black
P.S. 050 Talfourd Lawn Elementary School,0.1804,0.2427,0.1385,0.418,0.1309,0.9149,0.1588,0.028,Q050,All Grades,313,-73.807014365,40.695307086,No,104,2,106,Queens,NYC DOE,0.018867924528301886,Minority,0.418,Hispanic
